Date,A,B,C,D,E
2020/9/9,39546,35370,11.81,384.185,369.464
2020/9/10,39693,35438,12.01,384.465,369.733
2020/9/11,39682,35598,11.47,383.295,368.607
2020/9/12,34694,31311,10.8,354.311,340.735
2020/9/13,33054,30030,10.07,332.81,320.058
2020/9/14,39358,35640,10.43,379.183,364.653
2020/9/15,40037,36312,10.26,390.733,375.76
2020/9/16,40254,36521,10.22,394.456,379.341
2020/9/17,40570,36846,10.11,398.272,383.011
2020/9/18,40622,36893,10.11,396.819,381.613
2020/9/19,35803,32486,10.21,364.619,350.648
2020/9/20,33402,29517,13.16,336.463,323.57
2020/9/21,38959,34397,13.26,367.007,352.943
2020/9/22,39362,34237,14.97,368.721,354.592
2020/9/23,39461,34689,13.76,371.842,357.594
2020/9/24,38959,33525,16.21,366.113,352.083
2020/9/25,37286,32012,16.48,352.631,339.119
2020/9/26,35642,31095,14.62,340.662,327.609
2020/9/27,31297,26808,16.75,303.48,291.85
2020/9/28,35668,31113,14.64,337.096,324.178
2020/9/29,36005,31746,13.42,346.193,332.927
2020/9/30,36008,30723,17.2,336.989,324.075
2020/10/1,31043,26398,17.6,321.699,274.61
2020/10/2,30535,27075,12.78,321.406,274.36
2020/10/3,30966,27548,12.41,327.144,279.258
2020/10/4,31872,28281,12.7,331.756,283.194
2020/10/5,37047,32508,13.96,369.536,315.444
2020/10/6,36139,31900,13.29,366.956,313.241
2020/10/7,35407,31307,13.1,361.379,308.48
2020/10/8,35531,30813,15.31,358.248,305.808
2020/10/9,31793,27483,15.68,329.94,281.643
2020/10/10,30682,27387,12.03,321.67,274.585
2020/10/11,30519,27431,11.26,319.611,272.827
2020/10/12,36424,33063,10.17,371.076,316.759
2020/10/13,36854,33389,10.38,381.321,325.504
2020/10/14,36790,32798,12.17,378.803,323.355
2020/10/15,36608,32682,12.01,378.46,323.061
2020/10/16,36679,32878,11.56,377.055,321.863
2020/10/17,32108,28021,14.59,339.706,289.981
2020/10/18,30516,26570,14.85,314.197,268.205
2020/10/19,35551,31046,14.51,351.808,300.311
2020/10/20,35876,31632,13.42,362.755,309.655
2020/10/21,35676,32367,10.22,371.917,317.477
2020/10/22,35543,31202,13.91,361.32,308.43
2020/10/23,33701,29698,13.48,346.754,295.997
2020/10/24,30683,26791,14.53,319.174,272.453
2020/10/25,30151,26126,15.41,305.322,260.629
2020/10/26,34595,31092,11.27,349.126,298.021
2020/10/27,35071,31669,10.74,362.462,309.405
2020/10/28,35429,31959,10.86,365.469,311.972
2020/10/29,34978,31271,11.86,362.44,309.387
2020/10/30,34479,30264,13.93,351.492,300.041
2020/10/31,30482,26763,13.9,319.096,272.388
2020/11/1,29696,26127,13.66,315.009,243.616
2020/11/2,33953,30430,11.58,355.623,275.025
2020/11/3,33163,29974,10.64,358.644,277.361
2020/11/4,33339,29788,11.92,356.692,275.852
2020/11/5,33663,30344,10.94,361.243,279.371
2020/11/6,35055,31792,10.26,372.572,288.133
2020/11/7,31405,28206,11.34,345.528,267.218
2020/11/8,29547,25619,15.33,310.401,240.052
2020/11/9,33448,29368,13.89,343.953,266
2020/11/10,33402,29812,12.04,352.444,272.567
2020/11/11,33320,29612,12.52,352.902,272.921
2020/11/12,33593,30403,10.5,358.26,277.064
2020/11/13,33559,30186,11.17,359.448,277.983
2020/11/14,30510,27146,12.39,332.423,257.083
2020/11/15,29565,26102,13.27,314.09,242.905
2020/11/16,34111,30964,10.16,358.815,277.493
2020/11/17,34607,31405,10.2,371.73,287.481
2020/11/18,35177,31816,10.56,374.507,289.629
2020/11/19,35383,32069,10.33,378.469,292.693
2020/11/20,35666,32023,11.38,378.608,292.801
2020/11/21,31603,28675,10.21,350.72,271.233
2020/11/22,29650,26885,10.28,327.598,253.352
2020/11/23,33976,30832,10.2,360.709,278.958
2020/11/24,34084,30950,10.13,368.37,284.883
2020/11/25,34797,31491,10.5,371.834,287.562
2020/11/26,34573,31429,10.01,372.562,288.124
2020/11/27,33669,30174,11.58,362.449,280.303
2020/11/28,29814,26837,11.09,328.575,254.107
2020/11/29,28529,25242,13.02,304.6,235.565
2020/11/30,32437,29117,11.4,338.718,261.952
2020/12/1,32814,29577,10.94,355.298,228.896
2020/12/2,32582,29532,10.33,358.116,230.712
2020/12/3,32478,29310,10.81,356.471,229.652
2020/12/4,32466,29382,10.5,356.933,229.95
2020/12/5,30262,26644,13.58,330.35,212.824
2020/12/6,28297,25606,10.51,313.723,202.113
2020/12/7,32832,29726,10.45,353.586,227.793
2020/12/8,33028,29864,10.59,362.161,233.318
2020/12/9,33229,30135,10.27,363.903,234.441
2020/12/10,33283,30197,10.22,365.771,235.644
2020/12/11,33050,29921,10.46,363.687,234.302
2020/12/12,29946,26664,12.31,334.444,215.462
2020/12/13,28289,25459,11.12,313.412,201.912
2020/12/14,32639,29617,10.2,351.118,226.203
2020/12/15,32714,29702,10.14,360.434,232.205
2020/12/16,32818,29798,10.14,361.579,232.943
2020/12/17,32878,29878,10.04,360.959,232.543
2020/12/18,32849,29802,10.22,362.666,233.644
2020/12/19,29790,26743,11.39,334.625,215.578
2020/12/20,29274,25658,14.09,313.192,201.771
2020/12/21,32722,29650,10.36,352.857,227.324
2020/12/22,33107,29908,10.7,361.059,232.608
2020/12/23,33388,30312,10.15,365.98,235.778
2020/12/24,33402,29857,11.87,362.992,233.854
2020/12/25,32717,29299,11.67,358.124,230.718
2020/12/26,29798,26732,11.47,332.353,214.115
2020/12/27,28846,25977,11.04,315.72,203.399
2020/12/28,32626,29491,10.63,351.887,226.699
2020/12/29,33114,30020,10.3,362.574,233.584
2020/12/30,32211,29093,10.72,353.867,227.975
2020/12/31,31598,28444,11.09,350.244,225.64
2021/1/1,28487,25720,10.76,311.468,212.061
2021/1/2,28421,25485,11.52,304.952,207.625
2021/1/3,28513,25476,11.92,299.771,204.098
2021/1/4,32766,29734,10.2,342.273,233.036
2021/1/5,33117,30050,10.21,353.795,240.88
2021/1/6,33429,30327,10.23,357.158,243.17
2021/1/7,33602,30500,10.17,360.578,245.498
2021/1/8,33518,30412,10.21,364.834,248.395
2021/1/9,31269,28068,11.41,342.185,232.976
2021/1/10,30161,27255,10.66,320.948,218.516
2021/1/11,33772,30679,10.08,359.358,244.667
2021/1/12,33749,30633,10.17,366.614,249.607
2021/1/13,33108,29994,10.38,361.441,246.085
2021/1/14,33153,30021,10.43,358.668,244.198
2021/1/15,32864,29555,11.2,355.322,241.92
2021/1/16,30167,27121,11.23,331.785,225.894
2021/1/17,29746,26712,11.36,314.254,213.959
2021/1/18,33095,29938,10.55,347.884,236.856
2021/1/19,33148,29990,10.53,355.672,242.158
2021/1/20,33134,29984,10.5,356.127,242.467
2021/1/21,33359,30285,10.15,355.762,242.219
2021/1/22,33192,30095,10.29,358.199,243.879
2021/1/23,30421,27218,11.77,332.548,226.414
2021/1/24,28790,25717,11.95,307.458,209.331
2021/1/25,33063,29794,10.97,341.766,232.69
2021/1/26,33152,29933,10.75,351.528,239.336
2021/1/27,32652,29588,10.36,349.069,237.663
2021/1/28,32843,29557,11.12,350.657,238.744
2021/1/29,32472,29269,10.94,348.035,236.958
2021/1/30,30109,26662,12.93,325.481,221.602
