Date,A,B
2020/2/12,3348,11.73
2020/2/13,3246,11.16
2020/2/14,3123,10.7
2020/2/15,2996,10.79
2020/2/16,3985,15.9
2020/2/17,3744,13.23
2020/2/18,4249,14.95
2020/2/19,3564,12.56
2020/2/20,3132,10.94
2020/2/21,3138,11
2020/2/22,3674,14.11
2020/2/23,3739,14.92
2020/2/24,3010,10.44
2020/2/25,3124,10.7
2020/2/26,3167,10.75
2020/2/27,4253,14.99
2020/2/28,3286,12.47
2020/2/29,2806,10.93
2020/3/1,3321,13.29
2020/3/2,3295,11.54
2020/3/3,3106,10.64
2020/3/4,3758,13.02
2020/3/5,3518,12.3
2020/3/6,3179,11.13
2020/3/7,3712,14.18
2020/3/8,3379,13.22
2020/3/9,3209,10.82
2020/3/10,3931,13.75
2020/3/11,3255,11.41
2020/3/12,3002,10.23
2020/3/13,3098,10.62
2020/3/14,3826,14.83
2020/3/15,3493,14.06
2020/3/16,4820,17.22
2020/3/17,4143,14.41
2020/3/18,4153,14.26
2020/3/19,3085,10.5
2020/3/20,3700,12.75
2020/3/21,3020,11.34
2020/3/22,3086,11.83
2020/3/23,3771,12.84
2020/3/24,4125,14
2020/3/25,3577,11.91
2020/3/26,3187,10.33
2020/3/27,3264,10.44
2020/3/28,4066,15.7
2020/3/29,3489,13.87
2020/3/30,3508,12.22
2020/3/31,3322,11.39
2020/4/1,4095,14.48
2020/4/2,4108,16.15
2020/4/3,3749,14.92
2020/4/4,4414,18.21
2020/4/5,4249,17.45
2020/4/6,4054,14.35
2020/4/7,4037,14.36
2020/4/8,3364,11.91
2020/4/9,3678,13
2020/4/10,4650,16.33
2020/4/11,3179,12.34
2020/4/12,2809,11.42
2020/4/13,3328,12.05
2020/4/14,3563,12.78
2020/4/15,3497,12.41
2020/4/16,3144,11.02
2020/4/17,3609,12.45
2020/4/18,3489,13.09
2020/4/19,3028,11.42
2020/4/20,4091,13.64
2020/4/21,4376,14.59
2020/4/22,4031,14.1
2020/4/23,3948,14.07
2020/4/24,3948,14.26
2020/4/25,3166,12.34
2020/4/26,3120,12.43
2020/4/27,3810,13.27
2020/4/28,4687,16.19
2020/4/29,3346,11.33
2020/4/30,4864,16.43
2020/5/1,3512,13.11
2020/5/2,3414,12.9
2020/5/3,2967,11.06
2020/5/4,3476,10.75
2020/5/5,3400,10.2
2020/5/6,3426,10.39
2020/5/7,3736,11.49
2020/5/8,3414,10.1
2020/5/9,3823,12.87
2020/5/10,3015,10.25
2020/5/11,3350,10.09
2020/5/12,3766,11.78
2020/5/13,4199,13.01
2020/5/14,3382,10.11
2020/5/15,3622,10.72
2020/5/16,3947,13.14
2020/5/17,4241,14.78
2020/5/18,4085,12.45
2020/5/19,4626,14.76
2020/5/20,4951,15.71
2020/5/21,3983,12.62
2020/5/22,3675,11.9
2020/5/23,4061,15.1
2020/5/24,4289,15.94
2020/5/25,3942,12.15
2020/5/26,3563,10.83
2020/5/27,4932,15.69
2020/5/28,5261,16.69
2020/5/29,4098,12.59
2020/5/30,4186,14.68
2020/5/31,3430,11.92
2020/6/1,3633,10.79
2020/6/2,4071,11.84
2020/6/3,4163,12.07
2020/6/4,3754,10.75
2020/6/5,3682,10.56
2020/6/6,4240,13.79
2020/6/7,4535,16.13
2020/6/8,4580,14.15
2020/6/9,4515,13.95
2020/6/10,4367,12.93
2020/6/11,3986,11.65
2020/6/12,3586,10.24
2020/6/13,3764,11.93
2020/6/14,4572,15.33
2020/6/15,5033,14.34
2020/6/16,4022,11.27
2020/6/17,3975,10.99
2020/6/18,4191,11.65
2020/6/19,3862,10.63
2020/6/20,3675,10.41
2020/6/21,3484,11.02
2020/6/22,3849,10.51
2020/6/23,3768,10.23
2020/6/24,4086,10.99
2020/6/25,3379,10.61
2020/6/26,3907,12.87
2020/6/27,3620,11.88
2020/6/28,3412,10.97
2020/6/29,4013,11.04
2020/6/30,4646,12.67
2020/7/1,4029,11.09
2020/7/2,4458,12.44
2020/7/3,4131,11.54
2020/7/4,4287,13.43
2020/7/5,3475,11.13
2020/7/6,5016,13.98
2020/7/7,4610,12.69
2020/7/8,4315,11.63
2020/7/9,4367,11.9
2020/7/10,4379,11.89
2020/7/11,3671,11.15
2020/7/12,3518,10.92
2020/7/13,3974,10.59
2020/7/14,3924,10.38
2020/7/15,4210,11.45
2020/7/16,5085,14.16
2020/7/17,4256,11.54
2020/7/18,4321,13.02
2020/7/19,4128,12.97
2020/7/20,4268,11.38
2020/7/21,5133,13.94
2020/7/22,4266,11.42
2020/7/23,3848,10.12
2020/7/24,4129,10.99
2020/7/25,4697,14.3
2020/7/26,4718,15.44
2020/7/27,4565,12.42
2020/7/28,4530,12.47
2020/7/29,4845,13.33
2020/7/30,5460,15.34
2020/7/31,4138,11.4
2020/8/1,4121,12.61
2020/8/2,3810,12.39
2020/8/3,4898,14.53
2020/8/4,4353,12.79
2020/8/5,4387,12.4
2020/8/6,3853,10.53
2020/8/7,3860,10.52
2020/8/8,3871,11.96
2020/8/9,3187,10.23
2020/8/10,3726,10.23
2020/8/11,4384,12.47
2020/8/12,4270,11.69
2020/8/13,4651,12.81
2020/8/14,5022,13.97
2020/8/15,4941,15.83
2020/8/16,4622,15.55
2020/8/17,4585,12.9
2020/8/18,4236,11.68
2020/8/19,3869,10.46
2020/8/20,4384,11.91
2020/8/21,3862,10.49
2020/8/22,3398,10.97
2020/8/23,3297,10.9
2020/8/24,3695,10.13
2020/8/25,3812,10.28
2020/8/26,3796,10.6
2020/8/27,4545,12.95
2020/8/28,4272,12.16
2020/8/29,4174,13.4
2020/8/30,4086,13.32
2020/8/31,4719,13.41
2020/9/1,4478,12.64
2020/9/2,3868,10.6
2020/9/3,4811,13.56
2020/9/4,4870,13.54
2020/9/5,3922,12.75
2020/9/6,3873,13.87
2020/9/7,4362,12.85
2020/9/8,4155,11.83
2020/9/9,4176,11.81
2020/9/10,4255,12.01
2020/9/11,4084,11.47
2020/9/12,3383,10.8
2020/9/13,3024,10.07
2020/9/14,3718,10.43
2020/9/15,3725,10.26
2020/9/16,3733,10.22
2020/9/17,3724,10.11
2020/9/18,3729,10.11
2020/9/19,3317,10.21
2020/9/20,3885,13.16
2020/9/21,4562,13.26
2020/9/22,5125,14.97
2020/9/23,4772,13.76
2020/9/24,5434,16.21
2020/9/25,5274,16.48
2020/9/26,4547,14.62
2020/9/27,4489,16.75
2020/9/28,4555,14.64
2020/9/29,4259,13.42
2020/9/30,5285,17.2
2020/10/1,4645,17.6
2020/10/2,3460,12.78
2020/10/3,3418,12.41
2020/10/4,3591,12.7
2020/10/5,4539,13.96
2020/10/6,4239,13.29
2020/10/7,4100,13.1
2020/10/8,4718,15.31
2020/10/9,4310,15.68
2020/10/10,3295,12.03
2020/10/11,3088,11.26
2020/10/12,3361,10.17
2020/10/13,3465,10.38
2020/10/14,3992,12.17
2020/10/15,3926,12.01
2020/10/16,3801,11.56
2020/10/17,4087,14.59
2020/10/18,3946,14.85
2020/10/19,4505,14.51
2020/10/20,4244,13.42
2020/10/21,3309,10.22
2020/10/22,4341,13.91
2020/10/23,4003,13.48
2020/10/24,3892,14.53
2020/10/25,4025,15.41
2020/10/26,3503,11.27
2020/10/27,3402,10.74
2020/10/28,3470,10.86
2020/10/29,3707,11.86
2020/10/30,4215,13.93
2020/10/31,3719,13.9
2020/11/1,3569,13.66
2020/11/2,3523,11.58
2020/11/3,3189,10.64
2020/11/4,3551,11.92
2020/11/5,3319,10.94
2020/11/6,3263,10.26
2020/11/7,3199,11.34
2020/11/8,3928,15.33
2020/11/9,4080,13.89
2020/11/10,3590,12.04
2020/11/11,3708,12.52
2020/11/12,3190,10.5
2020/11/13,3373,11.17
2020/11/14,3364,12.39
2020/11/15,3463,13.27
2020/11/16,3147,10.16
2020/11/17,3202,10.2
2020/11/18,3361,10.56
2020/11/19,3314,10.33
2020/11/20,3643,11.38
2020/11/21,2928,10.21
2020/11/22,2765,10.28
2020/11/23,3144,10.2
2020/11/24,3134,10.13
2020/11/25,3306,10.5
2020/11/26,3144,10.01
2020/11/27,3495,11.58
2020/11/28,2977,11.09
2020/11/29,3287,13.02
2020/11/30,3320,11.4
2020/12/1,3237,10.94
2020/12/2,3050,10.33
2020/12/3,3168,10.81
2020/12/4,3084,10.5
2020/12/5,3618,13.58
2020/12/6,2691,10.51
2020/12/7,3106,10.45
2020/12/8,3164,10.59
2020/12/9,3094,10.27
2020/12/10,3086,10.22
2020/12/11,3129,10.46
2020/12/12,3282,12.31
2020/12/13,2830,11.12
2020/12/14,3022,10.2
2020/12/15,3012,10.14
2020/12/16,3020,10.14
2020/12/17,3000,10.04
2020/12/18,3047,10.22
2020/12/19,3047,11.39
2020/12/20,3616,14.09
2020/12/21,3072,10.36
2020/12/22,3199,10.7
2020/12/23,3076,10.15
2020/12/24,3545,11.87
2020/12/25,3418,11.67
2020/12/26,3066,11.47
2020/12/27,2869,11.04
2020/12/28,3135,10.63
2020/12/29,3094,10.3
2020/12/30,3118,10.72
2020/12/31,3154,11.09
